lon,lat,limit
36.16033747,128.3419395,50
35.94291982,128.9288624,60
36.40809533,128.0686172,100
35.80313165,129.2631044,50
35.99832958,129.343608,40
35.90005158,128.8027998,60
36.55351737,128.7607728,50
37.7547611,127.7091055,60
37.7917212,127.715593,60
38.12947108,128.621437,80
38.20017132,128.5702009,50
38.20027175,128.5938944,50
37.8477959,127.7550695,60
37.3199671,127.9492028,60
38.1894481,128.5573774,50
37.8132667,128.8559747,80
37.8051518,128.8942784,60
37.186873,127.889276,80
37.5334041,129.1156576,70
37.1755293,129.0155454,60
38.0943564,128.6264119,60
37.2244091,129.0416408,50
37.684642,127.875803,50
38.06283,127.9853203,60
37.322533,127.841001,100
37.6706596,127.8742336,100
33.45484017,126.4425549,70
33.4954494,126.584349,70
35.25247759,128.5113,60
35.21142049,128.6006013,60
35.21172862,128.5922172,60
36.942251,127.5520638,80
36.29991771,127.5323889,80
36.6837361,127.482166,70
36.63553015,127.4683202,50
36.60746063,127.4822018,50
36.9820189,127.9160162,60
37.130881,128.130332,60
36.87632765,127.4745614,60
37.52435413,127.055316,50
37.59954904,127.1007221,50
37.5813133,127.047218,50
37.48461403,126.9816657,50
37.66034188,127.0421136,50
37.63923423,126.9175304,60
37.5671118,127.0471177,80
37.5756516,127.0240428,50
37.51934248,127.0503207,50
34.72360524,126.9353071,100
34.80730695,127.1542111,100
35.03461003,126.5610746,100
34.82340333,127.3776459,100
35.97228309,128.7014892,60
35.83162237,128.5711764,60
35.94604013,128.5758593,60
35.87687574,128.6518081,60
35.84620655,128.5366857,60
35.85566367,128.5041213,40
35.8704878,128.5913037,50
35.86286462,128.5739067,60
35.9161444,128.5502061,50
35.88277093,128.6024674,60
35.80823082,128.4971992,50
35.82589599,129.2061837,50
35.82834378,129.2074879,50
35.59540281,129.3637156,50
35.531936,129.433094,50
35.5805535,129.3468253,60
35.62973927,129.3476809,70
35.55108117,129.4507263,50
35.5480521,129.1156553,60
35.3369972,129.2962416,50
35.5687215,129.2490796,30
35.88837217,128.8154882,60
35.200152,129.116531,60
35.28557032,129.1609401,70
35.12434875,129.078548,50
35.1491298,128.992002,50
35.28351849,129.0943833,50
35.08497693,128.9830302,60
35.16246039,128.8892482,60
35.21109781,129.0107915,50
35.23609398,129.2181869,60
35.10186113,128.956264,70
35.15345972,129.0250824,50
37.3624811,127.9314915,50
37.4362656,128.1014404,60
36.00033942,129.4148703,50
36.03419456,129.3804773,50
38.2056773,128.5743364,30
37.8756584,127.7771108,80
37.8754588,127.7767851,80
37.7442207,127.8276828,60
37.9455455,127.7829546,80
37.4514263,128.072719,60
36.9822778,127.5660101,60
36.86105219,127.5091104,80
37.3908302,126.7301437,50
37.3983667,126.6524368,60
37.407704,126.7227647,50
37.4752725,126.6977188,50
37.5660807,126.7424867,50
37.5169697,126.7402122,50
37.5975694,126.6385243,30
37.5977704,126.6393356,30
37.80193552,126.9681984,60
37.70952037,126.755508,50
37.63541,126.82574,60
38.2052673,128.5570863,60
35.23703312,128.6402811,60
35.24253391,128.651485,60
35.2615746,128.630671,60
35.2166628,128.5604549,50
35.24361041,128.5281948,60
35.13576823,128.0980624,70
35.13476351,128.0984733,70
35.33717733,129.0210818,50
35.34855992,129.0354984,70
34.95869465,127.7776186,70
34.85377613,128.4242294,50
35.24626348,128.6702457,60
35.09986328,128.4162119,70
35.24661805,128.5792474,60
35.1706124,128.1626334,30
35.17084006,128.8046616,60
34.9882714,128.0559462,80
35.37972571,128.3267222,60
35.20573616,128.675272,60
35.11658716,128.7188088,70
35.7092693,127.895595,80
35.7354578,128.1559072,70
35.5144096,128.4306186,60
35.03403468,128.3602077,70
35.07298331,127.7713996,60
34.821659,128.035581,60
35.29246477,128.3462768,100
35.19864715,128.2393816,100
35.28019233,128.4269075,100
35.22819842,128.8990556,60
35.53645966,129.3230951,60
35.64671378,129.342969,70
35.64860027,129.3583423,50
35.5593908,129.1122749,50
35.5715406,129.0995529,50
35.5690465,129.103164,50
38.218401,128.413692,60
38.218401,128.413692,60
38.2065575,128.4908904,60
38.2065573,128.4909055,60
37.00013808,127.57388,80
35.50293219,129.3100408,70
35.5029553,129.3100408,70
36.878345,127.512023,80
36.29301013,127.3830709,50
36.34304413,127.4339167,50
36.34921738,127.334775,30
33.26575209,126.5704636,30
37.63761157,126.78777,60
37.67644775,126.8109849,50
35.41380282,126.8010323,100
35.2772282,126.8951261,80
34.74788011,126.3720089,60
35.0296526,126.6094895,60
34.8145512,126.4709604,60
35.2162554,127.2326686,100
35.2162509,127.2326686,100
35.13390678,127.2496652,100
35.13390678,127.2496652,100
35.83461094,128.7272622,60
35.8117247,128.6141933,50
35.81709278,128.6407184,60
35.10788371,128.9466094,60
36.58383734,127.5975278,70
36.97880438,127.8284288,60
36.2690276,127.5904748,60
36.73278946,127.3706927,80
36.61950867,127.4557565,60
36.62067343,127.468452,50
37.03411499,127.6086619,60
37.04326987,127.927993,80
36.70706186,127.3640032,60
36.64118342,127.422236,60
36.64424251,127.422548,60
35.54226282,129.3284251,50
35.6125347,129.070877,80
35.5422543,129.4260051,60
36.80017154,127.134515,50
36.71046589,127.1143075,50
36.26917646,127.25916,60
36.4431104,127.1256027,50
36.4025184,126.5702149,80
36.89894694,126.6292077,60
36.7281237,127.1637724,80
36.5967292,126.5836503,70
36.7412449,126.7187089,60
36.24463842,127.0016769,70
36.0041197,126.7161014,60
36.3801723,126.9362397,60
35.877121,128.812021,30
35.840721,128.759831,60
36.83907746,128.6515233,70
36.38312733,128.1514851,60
36.09737941,128.4795015,60
36.42079805,128.673921,60
37.06805515,129.390156,80
36.16159931,129.3440308,80
36.12388581,128.3742498,60
36.6927586,128.1198862,70
35.95470283,128.7559245,100
35.95470283,128.7559245,100
35.93721957,128.6877578,100
35.91940005,128.666936,100
37.8747325,127.7685622,50
37.757144,128.8743278,60
38.15646122,128.6092305,60
37.1709556,128.3472442,80
37.8380928,128.0168,80
37.3656288,128.3867842,60
35.10341135,126.9390026,60
35.17939038,126.8174871,60
35.22990156,126.873817,80
35.23358278,126.8756668,80
35.98711586,126.9785892,60
33.2921862,126.3507831,70
33.2933658,126.3515316,70
33.29756107,126.1847772,70
33.2822303,126.708611,50
35.84065636,128.6021389,50
35.98135231,128.6260167,50
35.85922774,128.6354365,60
35.8731045,128.4719253,50
35.8516499,128.5085739,60
36.10967521,129.3419211,50
36.10057916,129.4293176,80
36.06100944,129.3538176,50
37.5544659,126.7483884,50
37.4630406,126.7518504,60
37.5155678,126.7351742,30
37.42122662,126.7318212,50
37.5934562,126.6743212,50
37.6138633,127.0380523,50
37.48826333,126.9150426,60
37.52034092,127.0633026,80
37.61058458,126.9757624,50
37.53876251,127.100648,80
37.44613958,126.9221188,40
37.58966656,126.9675446,50
37.57802042,127.0300389,50
37.5667279,126.9226382,50
37.53890713,126.8862041,60
37.52795712,126.9285161,60
37.52470018,126.9933004,50
37.5825626,127.0296164,50
37.65824239,126.9454044,50
35.2860711,128.7012937,60
35.14550659,128.1019524,60
35.2450686,128.8676693,60
35.2755639,128.8424489,60
35.3323245,129.0158415,50
